iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 39;  4.59998; 2.32698;
Particle no.; 40;  4.45147; 2.11468;
Particle no.; 41;  6.1795; 2.44627;
Particle no.; 42;  3.88049; 6.03672;
Particle no.; 43;  2.31037; 4.38405;
Particle no.; 44;  5.01133; 3.02478;
Particle no.; 45;  3.65849; 3.31717;
Particle no.; 46;  4.41012; 6.15128;
Particle no.; 47;  2.57364; 3.13501;
Particle no.; 48;  5.41012; 2.82706;
Particle no.; 49;  5.46022; 3.15612;
iteration no.; 18; x coordinate; y coordinate; 
Particle no.; 0;  5.37378; 1.96913;
Particle no.; 1;  5.64757; 1.87857;
Particle no.; 2;  2.76172; 4.12855;
Particle no.; 3;  5.46431; 0.500574;
Particle no.; 4;  4.47681; 2.34819;
Particle no.; 5;  5.57761; 2.55555;
Particle no.; 6;  2.60991; 5.44186;
Particle no.; 7;  5.64394; 1.91112;
Particle no.; 8;  4.17764; 1.75959;
Particle no.; 9;  4.58532; 2.30543;
Particle no.; 10;  6.26945; 2.63376;
Particle no.; 11;  3.30696; 2.67873;
Particle no.; 12;  5.17319; 0.818581;
Particle no.; 13;  4.34067; 1.92463;
Particle no.; 14;  2.22958; 3.13754;
Particle no.; 15;  3.83821; 4.85844;
Particle no.; 16;  5.65501; 2.62186;
Particle no.; 17;  4.74324; 2.87405;
Particle no.; 18;  5.69137; 5.33791;
Particle no.; 19;  2.52864; 4.09223;
Particle no.; 20;  5.18771; 3.59528;
Particle no.; 21;  5.4078; 1.00856;
Particle no.; 22;  4.5523; 1.86528;
Particle no.; 23;  6.85496; 3.47975;
Particle no.; 24;  6.28583; 1.76118;
Particle no.; 25;  4.81879; 3.09518;
Particle no.; 26;  4.62746; 2.21869;
Particle no.; 27;  6.14432; 4.48547;
Particle no.; 28;  2.42299; 5.50486;
Particle no.; 29;  6.77914; 3.02346;
Particle no.; 30;  5.01998; 3.90536;
Particle no.; 31;  1.85295; 1.74468;
Particle no.; 32;  3.97219; 2.22513;
Particle no.; 33;  5.49004; 3.91097;
Particle no.; 34;  5.87038; 1.23153;
Particle no.; 35;  5.90057; 0.955592;
Particle no.; 36;  6.72617; 6.12751;
Particle no.; 37;  3.61881; 6.12413;
Particle no.; 38;  4.50798; 0.876424;
Particle no.; 39;  4.61589; 2.33022;
Particle no.; 40;  4.51871; 2.12934;
Particle no.; 41;  6.17983; 2.44241;
