iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 30;  3.3871; 2.14992;
Particle no.; 31;  6.34277; 1.98301;
Particle no.; 32;  1.93563; 2.50415;
Particle no.; 33;  2.45875; 2.93679;
Particle no.; 34;  6.27921; 5.8319;
Particle no.; 35;  0; 2.48626;
Particle no.; 36;  1.7263; 6.25462;
Particle no.; 37;  0.601513; 4.05974;
Particle no.; 38;  6.63081; 2.98378;
Particle no.; 39;  3.31286; 1.49183;
Particle no.; 40;  6.5499; 6.30206;
Particle no.; 41;  4.44312; 4.71215;
Particle no.; 42;  2.68219; 5.4267;
Particle no.; 43;  6.34984; 6.51955;
Particle no.; 44;  6.66903; 0;
Particle no.; 45;  1.04637; 5.09334;
Particle no.; 46;  4.66921; 3.561;
Particle no.; 47;  1.58594; 6.16603;
Particle no.; 48;  5.0511; 4.17806;
Particle no.; 49;  3.04049; 4.61424;
iteration no.; 70; x coordinate; y coordinate; 
Particle no.; 0;  7; 3.40125;
Particle no.; 1;  2.95695; 3.11494;
Particle no.; 2;  6.05615; 1.84462;
Particle no.; 3;  6.07388; 6.16916;
Particle no.; 4;  0.427372; 0.179208;
Particle no.; 5;  1.73593; 2.713;
Particle no.; 6;  1.64392; 7;
Particle no.; 7;  7; 3.38279;
Particle no.; 8;  6.22398; 0;
Particle no.; 9;  2.62199; 4.26983;
Particle no.; 10;  5.93759; 3.73669;
Particle no.; 11;  0; 3.24055;
Particle no.; 12;  0.981291; 5.13296;
Particle no.; 13;  5.29709; 2.03124;
Particle no.; 14;  1.34168; 2.6799;
Particle no.; 15;  6.76861; 3.26568;
Particle no.; 16;  7; 2.14474;
Particle no.; 17;  5.73384; 3.39591;
Particle no.; 18;  3.00438; 4.17661;
Particle no.; 19;  0; 0;
Particle no.; 20;  2.87063; 4.22498;
Particle no.; 21;  6.34582; 2.18755;
Particle no.; 22;  1.16432; 7;
Particle no.; 23;  1.77738; 6.16182;
Particle no.; 24;  2.14097; 4.50971;
Particle no.; 25;  1.2204; 3.99129;
Particle no.; 26;  5.88677; 4.21491;
Particle no.; 27;  0.765522; 1.05828;
Particle no.; 28;  0.0448817; 6.29898;
Particle no.; 29;  2.68223; 4.31315;
Particle no.; 30;  4.05829; 2.55775;
Particle no.; 31;  6.3046; 2.36261;
Particle no.; 32;  2.21073; 2.77925;
Particle no.; 33;  4.07802; 4.3704;
Particle no.; 34;  6.05941; 5.64473;
Particle no.; 35;  0.102527; 2.30545;
Particle no.; 36;  1.74525; 6.26992;
Particle no.; 37;  0; 2.43881;
Particle no.; 38;  6.6439; 2.88016;
Particle no.; 39;  4.11639; 2.29535;
Particle no.; 40;  6.58398; 6.33067;
Particle no.; 41;  6.92482; 6.92515;
Particle no.; 42;  2.46442; 5.22187;
Particle no.; 43;  6.71745; 6.80417;
Particle no.; 44;  7; 0;
Particle no.; 45;  0.87615; 5.01057;
Particle no.; 46;  3.15014; 2.44976;
Particle no.; 47;  1.43875; 6.13504;
Particle no.; 48;  5.08836; 4.21532;
Particle no.; 49;  2.7677; 4.34146;
iteration no.; 80; x coordinate; y coordinate; 
Particle no.; 0;  7; 3.35625;
Particle no.; 1;  2.82117; 2.97916;
Particle no.; 2;  6.30934; 3.11816;
Particle no.; 3;  6.1443; 6.23206;
Particle no.; 4;  1.22649; 0.493421;
Particle no.; 5;  1.7538; 2.73087;
Particle no.; 6;  1.78299; 7;
Particle no.; 7;  7; 1.82814;
Particle no.; 8;  5.90589; 0;
Particle no.; 9;  2.64899; 4.29684;
Particle no.; 10;  3.94754; 2.67802;
Particle no.; 11;  1.63897; 4.24056;
Particle no.; 12;  0.965795; 5.12065;
Particle no.; 13;  5.27376; 2.0079;
Particle no.; 14;  1.22851; 2.56673;
Particle no.; 15;  6.85551; 2.78485;
Particle no.; 16;  7; 2.13518;
Particle no.; 17;  2.77174; 1.25615;
Particle no.; 18;  2.79701; 3.96924;
Particle no.; 19;  3.0012; 5.42436;
Particle no.; 20;  2.83964; 4.20733;
Particle no.; 21;  6.53014; 3.05301;
Particle no.; 22;  2.86466; 7;
Particle no.; 23;  1.88878; 6.24192;
Particle no.; 24;  2.28625; 4.65499;
Particle no.; 25;  3.54176; 5.20037;
Particle no.; 26;  5.9241; 4.25223;
Particle no.; 27;  0.878882; 1.13719;
Particle no.; 28;  0.0171275; 3.83746;
Particle no.; 29;  2.62109; 4.25201;
Particle no.; 30;  4.02899; 2.53995;
Particle no.; 31;  6.3163; 1.9919;
Particle no.; 32;  2.15143; 2.71995;
Particle no.; 33;  3.51773; 3.8921;
Particle no.; 34;  5.26126; 4.71016;
Particle no.; 35;  0; 2.59085;
Particle no.; 36;  1.67085; 6.20987;
Particle no.; 37;  0; 4.2126;
Particle no.; 38;  6.64647; 2.90825;
Particle no.; 39;  4.91142; 3.09038;
Particle no.; 40;  6.53305; 6.29721;
Particle no.; 41;  2.82346; 3.21967;
Particle no.; 42;  2.07632; 4.85685;
Particle no.; 43;  6.76911; 6.84555;
Particle no.; 44;  6.75205; 0;
Particle no.; 45;  0.0827028; 4.62475;
Particle no.; 46;  2.75634; 2.15721;
Particle no.; 47;  1.09701; 6.0802;
Particle no.; 48;  5.05377; 4.18073;
Particle no.; 49;  3.02588; 4.59963;
iteration no.; 90; x coordinate; y coordinate; 
Particle no.; 0;  7; 2.52742;
Particle no.; 1;  2.86378; 3.02177;
Particle no.; 2;  6.13322; 2.23295;
Particle no.; 3;  6.15384; 6.2404;
Particle no.; 4;  1.26792; 0.510178;
Particle no.; 5;  3.53254; 4.50961;
Particle no.; 6;  1.46159; 7;
Particle no.; 7;  7; 2.5892;
Particle no.; 8;  6.05095; 0;
Particle no.; 9;  2.67325; 4.3211;
Particle no.; 10;  4.77444; 2.7623;
Particle no.; 11;  1.60937; 5.15901;
Particle no.; 12;  0.881369; 5.05357;
